id	title	description	link	image_link	availability	price	brand	condition	identifier_exists
6ec0d964-1c36-42b8-ba01-6d1bb576e2d8-5mg	CJC-1295 (with DAC) (5mg)	A synthetic GHRH analog conjugated to a drug affinity complex, used in laboratory research on extended-duration GH/IGF-1 axis signaling. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/6ec0d964-1c36-42b8-ba01-6d1bb576e2d8	https://shoprealaminos.com/products/cjc-1295-with-dac.jpg	in stock	49.99 USD	RealAminos	new	no
c518c67b-2e55-4957-8870-b2592bf90e92-5mg	Ipamorelin (5mg)	A selective growth-hormone secretagogue peptide used in research on ghrelin-receptor-mediated GH release. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/c518c67b-2e55-4957-8870-b2592bf90e92	https://shoprealaminos.com/products/ipamorelin.jpg	in stock	37.99 USD	RealAminos	new	no
c518c67b-2e55-4957-8870-b2592bf90e92-10mg	Ipamorelin (10mg)	A selective growth-hormone secretagogue peptide used in research on ghrelin-receptor-mediated GH release. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/c518c67b-2e55-4957-8870-b2592bf90e92	https://shoprealaminos.com/products/ipamorelin.jpg	out of stock	37.99 USD	RealAminos	new	no
0d9fecad-c725-4e2a-a0b0-0810b5f0230f-5mg	Tesamorelin (5mg)	A synthetic GHRH analog used in laboratory research on growth-hormone axis signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/0d9fecad-c725-4e2a-a0b0-0810b5f0230f	https://shoprealaminos.com/products/tesamorelin.jpg	out of stock	99.99 USD	RealAminos	new	no
0d9fecad-c725-4e2a-a0b0-0810b5f0230f-10mg	Tesamorelin (10mg)	A synthetic GHRH analog used in laboratory research on growth-hormone axis signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/0d9fecad-c725-4e2a-a0b0-0810b5f0230f	https://shoprealaminos.com/products/tesamorelin.jpg	in stock	99.99 USD	RealAminos	new	no
17c2419b-5780-4a76-b8fe-df247a667c6f-5mg	GLP-1 (SG) (5mg)	A GLP-1 receptor agonist compound studied in laboratory and preclinical models of glucose-regulation signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/17c2419b-5780-4a76-b8fe-df247a667c6f	https://shoprealaminos.com/products/semaglutide.jpg	out of stock	59.99 USD	RealAminos	new	no
17c2419b-5780-4a76-b8fe-df247a667c6f-10mg	GLP-1 (SG) (10mg)	A GLP-1 receptor agonist compound studied in laboratory and preclinical models of glucose-regulation signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/17c2419b-5780-4a76-b8fe-df247a667c6f	https://shoprealaminos.com/products/semaglutide.jpg	in stock	59.99 USD	RealAminos	new	no
fefe28ce-f315-4477-bdba-e022dfca8017-10mg	GLP-3 (RT) (10mg)	A triple GIP/GLP-1/glucagon receptor agonist compound used in laboratory research on multi-hormone signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/fefe28ce-f315-4477-bdba-e022dfca8017	https://shoprealaminos.com/products/retatrutide.jpg	in stock	75.99 USD	RealAminos	new	no
fefe28ce-f315-4477-bdba-e022dfca8017-20mg	GLP-3 (RT) (20mg)	A triple GIP/GLP-1/glucagon receptor agonist compound used in laboratory research on multi-hormone signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/fefe28ce-f315-4477-bdba-e022dfca8017	https://shoprealaminos.com/products/retatrutide.jpg	out of stock	75.99 USD	RealAminos	new	no
504b07cc-70c3-475b-ae0a-7e673630c5a5-5mg	TB-500 (5mg)	A synthetic fragment of Thymosin Beta-4, studied in laboratory settings for its role in actin regulation and cell migration. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/504b07cc-70c3-475b-ae0a-7e673630c5a5	https://shoprealaminos.com/products/tb-500.jpg	out of stock	54.99 USD	RealAminos	new	no
504b07cc-70c3-475b-ae0a-7e673630c5a5-10mg	TB-500 (10mg)	A synthetic fragment of Thymosin Beta-4, studied in laboratory settings for its role in actin regulation and cell migration. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/504b07cc-70c3-475b-ae0a-7e673630c5a5	https://shoprealaminos.com/products/tb-500.jpg	in stock	54.99 USD	RealAminos	new	no
504b07cc-70c3-475b-ae0a-7e673630c5a5-20mg	TB-500 (20mg)	A synthetic fragment of Thymosin Beta-4, studied in laboratory settings for its role in actin regulation and cell migration. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/504b07cc-70c3-475b-ae0a-7e673630c5a5	https://shoprealaminos.com/products/tb-500.jpg	out of stock	54.99 USD	RealAminos	new	no
431876e1-709e-4886-a03a-0750fcfa469c-50mg	GHK-Cu (50mg)	A naturally occurring copper-binding tripeptide studied in vitro for its interactions with copper-transport signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/431876e1-709e-4886-a03a-0750fcfa469c	https://shoprealaminos.com/products/ghk-cu.jpg	out of stock	37.99 USD	RealAminos	new	no
431876e1-709e-4886-a03a-0750fcfa469c-100mg	GHK-Cu (100mg)	A naturally occurring copper-binding tripeptide studied in vitro for its interactions with copper-transport signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/431876e1-709e-4886-a03a-0750fcfa469c	https://shoprealaminos.com/products/ghk-cu.jpg	in stock	37.99 USD	RealAminos	new	no
36273cec-e348-4706-a822-a8f8f6881f15-5mg	BPC-157 (5mg)	A synthetic pentadecapeptide derived from a fragment of body protection compound, studied in vitro and in animal models for its interactions with angiogenesis-related signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/36273cec-e348-4706-a822-a8f8f6881f15	https://shoprealaminos.com/products/bpc-157.jpg	out of stock	41.99 USD	RealAminos	new	no
36273cec-e348-4706-a822-a8f8f6881f15-10mg	BPC-157 (10mg)	A synthetic pentadecapeptide derived from a fragment of body protection compound, studied in vitro and in animal models for its interactions with angiogenesis-related signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/36273cec-e348-4706-a822-a8f8f6881f15	https://shoprealaminos.com/products/bpc-157.jpg	in stock	41.99 USD	RealAminos	new	no
36273cec-e348-4706-a822-a8f8f6881f15-20mg	BPC-157 (20mg)	A synthetic pentadecapeptide derived from a fragment of body protection compound, studied in vitro and in animal models for its interactions with angiogenesis-related signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/36273cec-e348-4706-a822-a8f8f6881f15	https://shoprealaminos.com/products/bpc-157.jpg	out of stock	41.99 USD	RealAminos	new	no
f001d6bb-a539-4769-a7ba-5ec4019ab796-5mg	MT-2 (Melanotan II) (5mg)	A synthetic analog of alpha-melanocyte-stimulating hormone used in laboratory research on melanocortin receptor activity. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/f001d6bb-a539-4769-a7ba-5ec4019ab796	https://shoprealaminos.com/products/mt-2.jpg	out of stock	41.99 USD	RealAminos	new	no
f001d6bb-a539-4769-a7ba-5ec4019ab796-10mg	MT-2 (Melanotan II) (10mg)	A synthetic analog of alpha-melanocyte-stimulating hormone used in laboratory research on melanocortin receptor activity. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/f001d6bb-a539-4769-a7ba-5ec4019ab796	https://shoprealaminos.com/products/mt-2.jpg	in stock	41.99 USD	RealAminos	new	no
8a386de9-897f-4b64-8389-514faa990821-10mg	Selank (10mg)	A synthetic heptapeptide studied in laboratory models for its interactions with neuroimmune signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/8a386de9-897f-4b64-8389-514faa990821	https://shoprealaminos.com/products/selank.jpg	in stock	29.99 USD	RealAminos	new	no
8a386de9-897f-4b64-8389-514faa990821-30mg	Selank (30mg)	A synthetic heptapeptide studied in laboratory models for its interactions with neuroimmune signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/8a386de9-897f-4b64-8389-514faa990821	https://shoprealaminos.com/products/selank.jpg	out of stock	29.99 USD	RealAminos	new	no
868d793e-9552-4322-9f0e-4a921419fbd3-10mg	Semax (10mg)	A synthetic heptapeptide derived from ACTH(4-10), studied in laboratory settings for its interactions with neurotrophic signaling pathways. For Research Use Only. Not for human or veterinary use. Not a drug, food, dietary supplement, or cosmetic. Not evaluated by the FDA.	https://shoprealaminos.com/shop/868d793e-9552-4322-9f0e-4a921419fbd3	https://shoprealaminos.com/products/semax.jpg	in stock	47.99 USD	RealAminos	new	no
